type,original,placeholder,file,line,role
parameter,output_pickle_path,param_002,src\missing_values_handler.py,15,parameter
function,removing_outlier,data_cleaning_func_004,src\outlier_treatment.py,16,data_cleaning
parameter,input_pickle_path,param_001,src\outlier_treatment.py,16,parameter
parameter,output_pickle_path,param_002,src\outlier_treatment.py,16,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,src\pca.py,13,module
function,pc_analyzer,ml_model_func_001,src\pca.py,27,ml_model
parameter,in_path,param_006,src\pca.py,27,parameter
parameter,out_path,param_007,src\pca.py,27,parameter
parameter,drop_cols,param_015,src\pca.py,27,parameter
parameter,cvr_thresh,param_016,src\pca.py,27,parameter
function,pca_,ml_model_func_002,src\pca.py,98,ml_model
parameter,thresh,param_017,src\pca.py,98,parameter
function,radar_charts,visualization_func_001,src\radar_analysis.py,21,visualization
parameter,in_path,param_006,src\radar_analysis.py,21,parameter
function,removing_zero,data_cleaning_func_005,src\removing_zero_unitprice.py,16,data_cleaning
parameter,input_pickle_path,param_001,src\removing_zero_unitprice.py,16,parameter
parameter,output_pickle_path,param_002,src\removing_zero_unitprice.py,16,parameter
function,rfm,feature_engineering_func_004,src\rfm.py,14,feature_engineering
parameter,input_pickle_file,param_003,src\rfm.py,14,parameter
parameter,output_pickle_file,param_005,src\rfm.py,14,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,src\scaler.py,12,module
function,scaler,ml_model_func_003,src\scaler.py,27,ml_model
parameter,in_path,param_006,src\scaler.py,27,parameter
parameter,out_path,param_007,src\scaler.py,27,parameter
parameter,cols,param_018,src\scaler.py,27,parameter
function,seasonality_impacts,feature_engineering_func_005,src\seasonality.py,16,feature_engineering
parameter,input_pickle_file,param_003,src\seasonality.py,16,parameter
parameter,cancellation_pickle_file,param_019,src\seasonality.py,16,parameter
parameter,output_pickle_file,param_005,src\seasonality.py,16,parameter
function,calculate_trend,analysis_func_002,src\seasonality.py,50,analysis
parameter,spend_data,param_021,src\seasonality.py,50,parameter
function,handle_transaction_status,data_cleaning_func_006,src\transaction_status_handler.py,18,data_cleaning
parameter,input_pickle_path,param_001,src\transaction_status_handler.py,18,parameter
parameter,output_pickle_path,param_002,src\transaction_status_handler.py,18,parameter
function,unique_products,feature_engineering_func_006,src\unique_products.py,14,feature_engineering
parameter,input_pickle_file,param_003,src\unique_products.py,14,parameter
parameter,rfm_pickle_file,param_022,src\unique_products.py,14,parameter
parameter,output_pickle_file,param_005,src\unique_products.py,14,parameter
import,zipfile,module_l1_001,src\unzip_data.py,4,module
function,unzip_file,data_loader_func_003,src\unzip_data.py,13,data_loader
